,Name,year,ESG,Board_size,Gender_diversity,Board_independent,CSR,CEO,Employee,age,years,nfrd
1,3I GROUP,2003,32.2,10,20,60,1,1,858,58,-11,0
2,3I GROUP,2004,56.33,10,20,60,1,1,750,59,-10,0
3,3I GROUP,2005,26.43,11,18.18,0,1,1,763,60,-9,0
4,3I GROUP,2006,53.34,10,20,0,1,1,733,61,-8,0
5,3I GROUP,2007,53.66,10,20,0,1,1,765,62,-7,0
6,3I GROUP,2008,49.42,10,20,63.64,1,1,772,63,-6,0
7,3I GROUP,2009,57.82,9,33.33,58.33,1,1,702,64,-5,0
8,3I GROUP,2010,60.86,9,33.33,63.64,1,1,530,65,-4,0
9,3I GROUP,2011,62.51,9,22.22,63.64,1,1,470,66,-3,0
10,3I GROUP,2012,56.88,9,22.22,63.64,1,1,472,67,-2,0
11,3I GROUP,2013,45.11,8,25,55.56,1,1,358,68,-1,0
12,3I GROUP,2014,62.09,8,25,77.78,1,1,269,69,0,1
13,3I GROUP,2015,53.57,8,37.5,55.56,1,1,271,70,1,1
14,3I GROUP,2016,66.03,8,37.5,60,1,1,276,71,2,1
15,3I GROUP,2017,70.46,9,33.33,66.67,1,1,281,72,3,1
16,3I GROUP,2018,72.93,8,25,66.67,1,1,241,73,4,1
17,3I GROUP,2019,64.12,9,33.33,66.67,1,1,240,74,5,1
18,3I GROUP,2020,73.12,10,40,70,1,1,242,75,6,1
19,3I GROUP,2021,78.4,8,50,70,1,1,234,76,7,1
20,3I GROUP,2022,76.01,10,50,80,1,1,234,77,8,1
21,A P MOLLER MAERSK B,2003,16.93,11,18.18,0,0,1,63161,99,-11,0
22,A P MOLLER MAERSK B,2004,17.86,10,0,0,0,1,62300,100,-10,0
23,A P MOLLER MAERSK B,2005,16.4,12,0,0,0,1,67498,101,-9,0
24,A P MOLLER MAERSK B,2006,18.73,12,0,0,0,1,108530,102,-8,0
25,A P MOLLER MAERSK B,2007,31.19,11,0,0,0,1,117319,103,-7,0
26,A P MOLLER MAERSK B,2008,45.45,12,25,64.29,1,1,119599,104,-6,0
27,A P MOLLER MAERSK B,2009,62.79,12,16.67,66.67,1,1,115386,105,-5,0
28,A P MOLLER MAERSK B,2010,61.86,12,16.67,53.33,1,1,108110,106,-4,0
29,A P MOLLER MAERSK B,2011,60.46,12,16.67,58.33,1,1,117080,107,-3,0
30,A P MOLLER MAERSK B,2012,59.82,12,16.67,58.33,1,1,121105,108,-2,0
31,A P MOLLER MAERSK B,2013,57.08,12,16.67,41.67,1,1,88909,109,-1,0
32,A P MOLLER MAERSK B,2014,51.95,12,25,58.82,1,1,89207,110,0,1
33,A P MOLLER MAERSK B,2015,61.1,12,25,66.67,1,1,88355,111,1,1
34,A P MOLLER MAERSK B,2016,56.55,12,25,69.23,1,1,87736,112,2,1
35,A P MOLLER MAERSK B,2017,57.74,11,27.27,66.67,1,1,75813,113,3,1
36,A P MOLLER MAERSK B,2018,61.58,10,20,53.85,1,1,80220,114,4,1
37,A P MOLLER MAERSK B,2019,66.69,10,20,66.67,1,1,86279,115,5,1
38,A P MOLLER MAERSK B,2020,64.72,10,30,63.64,1,1,83624,116,6,1
39,A P MOLLER MAERSK B,2021,64.22,10,30,63.64,1,1,85375,117,7,1
40,A P MOLLER MAERSK B,2022,66.04,8,37.5,58.33,1,1,104260,118,8,1
41,A2A,2009,56.62,16,0,53.85,1,0,8930,1,-5,0
42,A2A,2010,48.7,16,0,50,1,0,12171,2,-4,0
43,A2A,2011,62.41,16,0,50,1,0,11960,3,-3,0
44,A2A,2012,62.46,18,16.67,64.29,1,0,12771,4,-2,0
45,A2A,2013,58.81,18,16.67,94.44,1,0,12626,5,-1,0
46,A2A,2014,61.08,26,19.23,88.46,1,1,12212,6,0,1
47,A2A,2015,59.46,25,20,88.46,1,1,12083,7,1,1
48,A2A,2016,64.51,23,17.39,88,1,1,13494,8,2,1
49,A2A,2017,72.45,12,33.33,92.59,1,1,11436,9,3,1
50,A2A,2018,66.05,12,33.33,75,1,1,12080,10,4,1
51,A2A,2019,80.98,12,33.33,76.92,1,1,12186,11,5,1
52,A2A,2020,78.09,12,41.67,68.42,1,1,12978,12,6,1
53,A2A,2021,78.97,12,41.67,66.67,1,1,13267,13,7,1
54,A2A,2022,73.86,12,41.67,66.67,1,1,13655,14,8,1
55,AAK,2006,0,8,0,0,0,0,2529,1,-8,0
56,AAK,2007,0,8,0,0,0,0,2569,2,-7,0
57,AAK,2008,0,8,0,0,0,0,2623,3,-6,0
58,AAK,2009,0,8,0,0,0,0,2131,4,-5,0
59,AAK,2010,0,8,0,0,0,0,2101,5,-4,0
60,AAK,2011,0,8,0,0,0,0,2065,6,-3,0
61,AAK,2012,0,8,0,0,0,0,2211,7,-2,0
62,AAK,2013,0,8,0,0,0,0,2207,8,-1,0
63,AAK,2014,0,8,0,0,0,0,2439,9,0,1
64,AAK,2015,0,8,0,0,0,0,2738,10,1,1
65,AAK,2016,0,8,0,0,0,0,2970,11,2,1
66,AAK,2017,0,8,0,0,0,0,3399,12,3,1
67,AAK,2018,41.06,8,62.5,30,1,0,3609,13,4,1
68,AAK,2019,56.95,8,50,44.44,1,0,3884,14,5,1
69,AAK,2020,66.86,8,50,50,1,0,3978,15,6,1
70,AAK,2021,69.14,8,50,50,1,0,4013,16,7,1
71,AAK,2022,70.88,7,57.14,44.44,1,0,3962,17,8,1
72,AALBERTS,2003,0,4,0,0,0,0,6325,28,-11,0
73,AALBERTS,2004,0,4,0,0,0,0,7131,29,-10,0
74,AALBERTS,2005,0,4,0,0,0,0,8017,30,-9,0
75,AALBERTS,2006,0,4,0,0,0,0,9370,31,-8,0
76,AALBERTS,2007,0,4,0,0,0,0,10918,32,-7,0
77,AALBERTS,2008,0,4,0,0,0,0,10880,33,-6,0
78,AALBERTS,2009,0,4,0,0,0,0,9999,34,-5,0
79,AALBERTS,2010,7.18,4,0,100,0,0,11536,35,-4,0
80,AALBERTS,2011,7.46,4,0,100,0,0,12282,36,-3,0
81,AALBERTS,2012,11.21,4,0,100,0,0,12048,37,-2,0
82,AALBERTS,2013,11.79,4,0,100,0,0,12311,38,-1,0
83,AALBERTS,2014,12.36,3,0,75,0,0,14492,39,0,1
84,AALBERTS,2015,17.96,3,0,100,0,0,14709,40,1,1
85,AALBERTS,2016,25.61,4,0,100,0,0,15338,41,2,1
86,AALBERTS,2017,53.66,4,25,100,0,0,16003,42,3,1
87,AALBERTS,2018,58.09,4,25,100,0,0,16452,43,4,1
88,AALBERTS,2019,61.96,4,25,100,0,0,16094,44,5,1
